"Feature","Weight"
"ENSG00000167676.4",0.0413225902700237
"ENSG00000168228.15",-0.0629089379660457
"ENSG00000168754.15",0.0173047918699673
"ENSG00000168758.11",-0.235164938599167
"ENSG00000168779.20",0.261313817611464
"ENSG00000168958.20",0.00215910908183833
"ENSG00000169062.15",-0.282429992583051
"ENSG00000169136.12",0.217631275298273
"ENSG00000170417.16",-0.294428740226912
"ENSG00000170442.12",0.409078934503153
"ENSG00000170835.16",-0.0537575828977649
"ENSG00000170876.8",-0.336932886247085
"ENSG00000171246.6",0.0131118764357506
"ENSG00000171462.15",0.00356573370099398
"ENSG00000171649.12",-0.271037278412008
"ENSG00000172262.11",-0.0966325072171631
"ENSG00000173599.15",-0.16810441321682
"ENSG00000173914.12",-0.781093856151654
"ENSG00000174007.9",0.0604630911282092
"ENSG00000174306.21",0.0857804270214219
"ENSG00000175003.15",0.0107148538527806
"ENSG00000175170.16",-0.118006306845353
"ENSG00000175505.11",-0.108351328375255
"ENSG00000175573.7",-0.264955350914656
"ENSG00000176407.18",-1.01522240836124
"ENSG00000176490.5",-0.107270823026294
"ENSG00000176826.15",0.267781643955191
"ENSG00000177098.9",0.0699101181919763
"ENSG00000177426.22",-0.250462781499063
"ENSG00000177427.13",-0.166511373365556
"ENSG00000180096.12",-0.0995048183626986
"ENSG00000180914.10",-0.261461008426258
"ENSG00000181856.15",0.0929503223485088
"ENSG00000182179.13",-0.221091510927873
"ENSG00000183918.17",-0.149665879808769
"ENSG00000184497.13",-0.289448074972534
"ENSG00000184564.11",-0.0720952757506479
"ENSG00000185522.9",-0.0996951384737983
"ENSG00000185650.10",-0.17848822541434
"ENSG00000185664.14",-0.54859838310023
"ENSG00000186073.14",-0.00697980978133895
"ENSG00000186407.7",0.250863659387004
"ENSG00000187193.9",-0.216742125353301
"ENSG00000187957.8",-0.253180517809708
"ENSG00000188167.9",-0.13777834839415
"ENSG00000188710.3",0.510894186689112
"ENSG00000189366.9",0.461202625623887
"ENSG00000196873.16",0.0361378203667346
"ENSG00000197142.10",0.048432678874709
"ENSG00000198093.11",-0.463265512294202
"ENSG00000198189.11",0.780751897722942
"ENSG00000198576.4",-0.137932918943065
"ENSG00000198673.10",0.906431801060352
"ENSG00000198835.4",-0.225856315880085
"ENSG00000198838.14",-0.268997262126803
"ENSG00000203747.12",0.0328994073713905
"ENSG00000203995.10",-0.280036419743722
"ENSG00000204542.3",0.00929574777274779
"ENSG00000211892.4",0.127727657802977
"ENSG00000212123.4",-0.0750130977189323
"ENSG00000213190.4",-0.165973571365307
"ENSG00000215126.10",0.0856295776351437
"ENSG00000217094.2",0.0134477695520276
"ENSG00000221883.4",-0.160149778635743
"ENSG00000224032.7",-0.235600837527852
"ENSG00000224420.3",0.263944632129695
"ENSG00000226421.1",0.34396755885443
"ENSG00000226453.2",0.289935951551528
"ENSG00000229344.1",0.0344229293346772
"ENSG00000229754.1",-0.00943910071748107
"ENSG00000230076.1",-0.121327447431863
"ENSG00000230088.1",0.144908676288037
"ENSG00000231290.6",0.0529625022304826
"ENSG00000235092.6",0.151570242364434
"ENSG00000235314.1",-0.510767231861243
"ENSG00000235609.7",-0.0509285284289071
"ENSG00000236383.8",0.442198212404537
"ENSG00000236438.7",0.146536803996431
"ENSG00000237686.7",0.281572285535694
"ENSG00000243678.12",0.374331950087074
"ENSG00000243811.11",0.434562351423194
"ENSG00000244482.10",0.0290128481555842
"ENSG00000245648.2",-0.193411732192292
"ENSG00000249001.5",0.0637603288976341
"ENSG00000249464.6",-0.153743923205255
"ENSG00000250041.3",-0.0289798648763701
"ENSG00000250616.2",0.320383469672339
"ENSG00000253305.2",-0.731447751494561
"ENSG00000255026.1",0.0198362832370892
"ENSG00000258376.2",-0.193140852738019
"ENSG00000259692.6",0.0714453814546158
"ENSG00000260912.1",0.191418095306736
"ENSG00000261008.7",-0.00596189584856721
"ENSG00000261971.8",0.0470012963817227
"ENSG00000266947.1",-0.0259431100183154
"ENSG00000267040.6",0.00401155546641941
"ENSG00000269981.1",0.0246870309073626
"ENSG00000273014.1",0.626834489377394
"ENSG00000274349.4",0.516494471245637
"ENSG00000275318.1",0.134187257006288
"ENSG00000276136.1",0.258175586627062
"ENSG00000277496.1",-0.134703874232041
"ENSG00000278196.3",-0.0198483075714988
"ENSG00000279495.1",0.0220265687814064
"ENSG00000280027.1",0.0362956382584505
"ENSG00000280213.1",-0.135764033025739
"ENSG00000282639.1",-0.00932207956662449
