"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "Ensembl_ID" "Gene.name"
"ENSG00000180660.8" -0.586158159841133 -0.425787550556716 -6.52841759341951 1.02199482660346e-10 5.16334497396216e-08 13.8092547057367 "ENSG00000180660.8" "MAB21L1"
"ENSG00000065618.21" -1.0887477504883 3.3393081019499 -6.51888629124813 1.08644918332958e-10 5.34063182335091e-08 13.8827977578958 "ENSG00000065618.21" "COL17A1"
"ENSG00000123119.12" -0.576700618071173 -0.0407078966207327 -6.51437525896195 1.11832569969634e-10 5.35265995423078e-08 13.7586441984533 "ENSG00000123119.12" "NECAB1"
"ENSG00000010932.17" -0.63077444092734 2.2598608768474 -6.50181516501313 1.21198067674928e-10 5.65218065351691e-08 13.7691414424554 "ENSG00000010932.17" "FMO1"
"ENSG00000101680.15" -0.568041589900235 1.89582337820218 -6.48935160337322 1.31248960411711e-10 5.9678902299205e-08 13.69422619745 "ENSG00000101680.15" "LAMA1"
"ENSG00000171517.6" -0.914897776086486 0.102868728520942 -6.4639484937963 1.54324985792158e-10 6.84600693070187e-08 13.5059793999263 "ENSG00000171517.6" "LPAR3"
"ENSG00000129151.9" -0.795076753742288 0.449815537844796 -6.450468742702 1.68136637893349e-10 7.28111707143865e-08 13.4689788595595 "ENSG00000129151.9" "BBOX1"
"ENSG00000134874.18" -0.334005055950096 3.09554401297821 -6.44594174491913 1.73040944587583e-10 7.3192295352534e-08 13.430764471536 "ENSG00000134874.18" "DZIP1"
"ENSG00000173852.15" -0.32588728544115 4.56996684488892 -6.40454178660418 2.24895411828625e-10 9.29635852349779e-08 13.1584399198369 "ENSG00000173852.15" "DPY19L1"
"ENSG00000157765.13" -0.917443974688302 2.35085365523271 -6.39694860857139 2.35932742883503e-10 9.53587717236701e-08 13.1149887242022 "ENSG00000157765.13" "SLC34A2"
"ENSG00000103647.13" -0.435795878160371 1.47087296814628 -6.38834702608704 2.49076549081085e-10 9.84827016236255e-08 13.0391108349027 "ENSG00000103647.13" "CORO2B"
"ENSG00000187260.16" -0.524733756536196 0.817936055408395 -6.36272173651226 2.92623782293764e-10 1.13239177709766e-07 12.8838456968996 "ENSG00000187260.16" "WDR86"
"ENSG00000140538.16" -0.782259308572233 1.5590994976331 -6.30463984720269 4.20724328915132e-10 1.59419460298092e-07 12.5751244873665 "ENSG00000140538.16" "NTRK3"
"ENSG00000156103.16" -0.627602413807695 3.25693007148481 -6.27565574893768 5.03743095467971e-10 1.86981212660642e-07 12.4246898417374 "ENSG00000156103.16" "MMP16"
"ENSG00000182463.16" -0.509480581523959 3.3941358039306 -6.26448939137346 5.39828332543415e-10 1.94239436030125e-07 12.3602230099668 "ENSG00000182463.16" "TSHZ2"
"ENSG00000182568.17" -0.419337530178681 4.13276669516515 -6.26305101337607 5.44656434876642e-10 1.94239436030125e-07 12.3074323406529 "ENSG00000182568.17" "SATB1"
"ENSG00000112182.15" -0.450859215496672 1.96721744102025 -6.25058963257876 5.88289631183955e-10 2.01905557934179e-07 12.2716497093494 "ENSG00000112182.15" "BACH2"
"ENSG00000052850.8" -0.791098955700617 -0.168909998633014 -6.24779827450007 5.98521963527702e-10 2.01905557934179e-07 12.1917699966514 "ENSG00000052850.8" "ALX4"
"ENSG00000134569.10" -0.469215339138181 2.14044721650951 -6.24754588137834 5.99455692129188e-10 2.01905557934179e-07 12.247268042666 "ENSG00000134569.10" "LRP4"
"ENSG00000120332.16" -0.782265146909362 2.39905258203084 -6.23619198523407 6.42964102953345e-10 2.12622383718463e-07 12.1596788397042 "ENSG00000120332.16" "TNN"
"ENSG00000198795.11" -0.412226034595007 4.27240374047743 -6.23311309863187 6.55284701360763e-10 2.12827109791957e-07 12.1123520321947 "ENSG00000198795.11" "ZNF521"
"ENSG00000134853.12" -0.511009461292034 5.0567151545988 -6.19546734687305 8.25905116873552e-10 2.63196790094316e-07 11.8824621852401 "ENSG00000134853.12" "PDGFRA"
"ENSG00000112146.17" 0.182469047331238 5.84312928076855 6.19284016762566 8.39312394186843e-10 2.63196790094316e-07 11.8427035918292 "ENSG00000112146.17" "FBXO9"
"ENSG00000211448.13" -0.649992779476222 4.27713984951309 -6.18340691397134 8.89227872703299e-10 2.74123331334366e-07 11.8684515209855 "ENSG00000211448.13" "DIO2"
"ENSG00000162891.10" -1.07769213564847 -0.287926492835299 -6.17885385678809 9.14346124985196e-10 2.77168788687179e-07 11.7657440495044 "ENSG00000162891.10" "IL20"
"ENSG00000196208.14" -0.743067857721238 5.708859665686 -6.14984682973936 1.09143443390898e-09 3.25426384982565e-07 11.689575579912 "ENSG00000196208.14" "GREB1"
"ENSG00000196091.15" -1.29530440166559 0.540127075795605 -6.12927381415937 1.23690125792344e-09 3.62850969017927e-07 11.5471620501282 "ENSG00000196091.15" "MYBPC1"
"ENSG00000003096.14" -0.613011921784914 2.13196232441854 -6.12279034889422 1.28654721565026e-09 3.71424139019792e-07 11.5329080732711 "ENSG00000003096.14" "KLHL13"
"ENSG00000074047.22" -0.458307670653062 1.78638707380138 -6.11558222338209 1.34402659331101e-09 3.81955557486573e-07 11.4783395624438 "ENSG00000074047.22" "GLI2"
"ENSG00000152092.16" -0.775057481619195 -1.11343030977223 -6.10809458838194 1.40638782381209e-09 3.93528949838374e-07 11.3725913428559 "ENSG00000152092.16" "ASTN1"
"ENSG00000105088.8" -0.424792263407479 3.93454802583549 -6.09420902292493 1.52959476933792e-09 4.21519237344214e-07 11.2986546063174 "ENSG00000105088.8" "OLFM2"
"ENSG00000161681.16" -0.501251749363697 -0.00496880096773989 -6.07336781068154 1.73451923887751e-09 4.70857252488122e-07 11.1839400212318 "ENSG00000161681.16" "SHANK1"
"ENSG00000164946.20" -0.672748996867975 0.887728368241556 -6.04548111561272 2.05107415605141e-09 5.4860201103328e-07 11.0522949903317 "ENSG00000164946.20" "FREM1"
"ENSG00000122786.20" -0.334465466022383 8.00817312578055 -6.03592690569626 2.17197952805749e-09 5.72521212410285e-07 10.9195870824207 "ENSG00000122786.20" "CALD1"
"ENSG00000144366.16" -0.473539168748825 2.68338027627263 -6.02647684466139 2.29839489271389e-09 5.94123330331027e-07 10.9845393851933 "ENSG00000144366.16" "GULP1"
"ENSG00000211649.3" -1.01114737013737 0.0669526462111832 -6.02496579723846 2.31926305550379e-09 5.94123330331027e-07 10.9346459762935 "ENSG00000211649.3" "IGLV7-46"
"ENSG00000154736.6" -0.444046831875994 3.37736524844482 -6.00263070445559 2.65014610849455e-09 6.69456353073594e-07 10.8341766737877 "ENSG00000154736.6" "ADAMTS5"
"ENSG00000101311.16" -0.579353278327726 0.641996765351897 -5.98327111786615 2.97385109648482e-09 7.40937037573506e-07 10.7351324081905 "ENSG00000101311.16" "FERMT1"
"ENSG00000137726.17" -0.329397937313697 2.00811094899764 -5.9752196133284 3.11955169314165e-09 7.66735218849463e-07 10.6949682885255 "ENSG00000137726.17" "FXYD6"
"ENSG00000128422.17" -0.881588572644125 5.01291025095513 -5.9719081459097 3.18147570766808e-09 7.71529068947562e-07 10.5595673485867 "ENSG00000128422.17" "KRT17"
"ENSG00000107796.13" -0.40206943008182 6.70312425577792 -5.95673250436026 3.48092993804858e-09 8.33041496226678e-07 10.4611402567479 "ENSG00000107796.13" "ACTA2"
"ENSG00000117152.14" -0.570044098807757 3.09022408564277 -5.92878489540086 4.10591740309501e-09 9.57489620891961e-07 10.4353292361912 "ENSG00000117152.14" "RGS4"
"ENSG00000116157.6" -0.313620959216549 3.47259860153853 -5.9287718038457 4.10623435394617e-09 9.57489620891961e-07 10.381016640507 "ENSG00000116157.6" "GPX7"
"ENSG00000111863.13" -0.56961183160895 0.0427376080364198 -5.9207645828303 4.30462667863065e-09 9.91044937100433e-07 10.3633803538958 "ENSG00000111863.13" "ADTRP"
"ENSG00000119147.10" -0.819061057727738 -0.203355508878101 -5.8944078298974 5.02589199560947e-09 1.14263654520181e-06 10.2005623687818 "ENSG00000119147.10" "ECRG4"
"ENSG00000153956.16" -0.458649075565988 3.20265214107787 -5.88319656659615 5.36722821472931e-09 1.20517465147527e-06 10.1812683762158 "ENSG00000153956.16" "CACNA2D1"
"ENSG00000241755.1" -0.934736222854358 1.78524720585494 -5.87774007567787 5.54142504578672e-09 1.22911510649718e-06 10.1517385696606 "ENSG00000241755.1" "IGKV1-9"
"ENSG00000088882.8" -0.514966926149939 4.52926137915492 -5.86421929495037 5.99714529120578e-09 1.31416962116206e-06 10.0169466005442 "ENSG00000088882.8" "CPXM1"
"ENSG00000169515.8" -0.507643653215941 3.35530876672468 -5.85628483038604 6.28136333439508e-09 1.35773767014811e-06 10.0239970924449 "ENSG00000169515.8" "CCDC8"
"ENSG00000019549.13" -0.372634115386878 4.15684680038433 -5.85454907422081 6.3452662174285e-09 1.35773767014811e-06 9.96408274295761 "ENSG00000019549.13" "SNAI2"
"ENSG00000226237.2" -0.417242053279957 -0.187065394010263 -5.84738462855837 6.61579607763683e-09 1.39916394255882e-06 9.94901607359566 "ENSG00000226237.2" "GAS1RR"
"ENSG00000259969.1" -0.456119480325599 -0.847257280605526 -5.84300546164474 6.7866507749745e-09 1.41880004937053e-06 9.90425120778999 "ENSG00000259969.1" "AL049838.1"
"ENSG00000104888.10" -0.470359310511853 -0.857118988162702 -5.84004044667364 6.9047636323978e-09 1.42060807535954e-06 9.89231925277677 "ENSG00000104888.10" "SLC17A7"
"ENSG00000135269.18" -0.272762878460026 6.03417574401067 -5.8382983223219 6.97509319272634e-09 1.42060807535954e-06 9.7912275650584 "ENSG00000135269.18" "TES"
"ENSG00000078549.15" -0.522831403551138 0.409454363250143 -5.8361329156682 7.06348364490615e-09 1.42060807535954e-06 9.88657500000296 "ENSG00000078549.15" "ADCYAP1R1"
"ENSG00000146411.6" -0.555055707129438 0.0908592585132877 -5.83155083869962 7.25413206168141e-09 1.42060807535954e-06 9.88950920412787 "ENSG00000146411.6" "SLC2A12"
"ENSG00000211659.2" -0.943594326905358 2.50405822522695 -5.83147101550136 7.25749730994061e-09 1.42060807535954e-06 9.87703220972361 "ENSG00000211659.2" "IGLV3-25"
"ENSG00000211650.2" -1.01109757423269 -0.780006341410738 -5.8313182829364 7.26394056567172e-09 1.42060807535954e-06 9.85655432505458 "ENSG00000211650.2" "IGLV5-45"
