"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "Ensembl_ID" "Gene.name"
"ENSG00000117724.13" 3.39001101129131 4.97127330603184 25.034010671744 1.85867677094413e-66 8.89703359194365e-64 140.918609873032 "ENSG00000117724.13" "CENPF"
"ENSG00000112984.12" 3.62549118339841 2.7949689581301 24.9179270752423 3.97373479169054e-66 1.8520741288324e-63 140.169215248451 "ENSG00000112984.12" "KIF20A"
"ENSG00000138180.16" 3.54193702079063 2.53509647061903 24.8564728669531 5.94558827181979e-66 2.70005933031283e-63 139.764271976751 "ENSG00000138180.16" "CEP55"
"ENSG00000126787.13" 3.57920197889359 2.13737788107867 24.8213775097567 7.48555911213509e-66 3.31441843587562e-63 139.525664374768 "ENSG00000126787.13" "DLGAP5"
"ENSG00000123485.12" 3.57686046377851 1.76013674523462 24.796991139952 8.78557697186067e-66 3.79515496947864e-63 139.355027113267 "ENSG00000123485.12" "HJURP"
"ENSG00000182463.16" -2.60756797246464 5.03745923839914 -24.6317314839338 2.60566892431711e-65 1.09878576949001e-62 138.282913559602 "ENSG00000182463.16" "TSHZ2"
"ENSG00000168079.17" -6.47402751106518 2.98426627923864 -24.5412316626887 4.73270246922874e-65 1.94932310308163e-62 137.702898922536 "ENSG00000168079.17" "SCARA5"
"ENSG00000154134.15" -2.35369830234962 2.51221621538573 -24.4814491996096 7.02376270556738e-65 2.79306494583383e-62 137.295778901082 "ENSG00000154134.15" "ROBO3"
"ENSG00000087586.18" 2.93814848024523 2.93192030888274 24.4798878645295 7.09660225636737e-65 2.79306494583383e-62 137.297744279938 "ENSG00000087586.18" "AURKA"
"ENSG00000080986.13" 3.12628465957863 2.11290375455412 24.3749175810207 1.42099550142093e-64 5.4711415925361e-62 136.592617417296 "ENSG00000080986.13" "NDC80"
"ENSG00000163239.12" -2.66893131668736 0.219512993521317 -24.3387422425872 1.80572005146463e-64 6.80449102797662e-62 136.238983838548 "ENSG00000163239.12" "TDRD10"
"ENSG00000170312.16" 3.11200010171204 3.72895462488904 24.3167439890218 2.08911712170696e-64 7.708406946365e-62 136.220279047133 "ENSG00000170312.16" "CDK1"
"ENSG00000137960.6" -2.88071295872098 1.94253322419473 -24.2945420151141 2.42040555751531e-64 8.74853118962321e-62 136.048636242767 "ENSG00000137960.6" "GIPC2"
"ENSG00000134690.11" 2.8688430496073 2.79393593590875 24.2534716309807 3.17841956994712e-64 1.12585978006667e-61 135.803010836853 "ENSG00000134690.11" "CDCA8"
"ENSG00000066279.18" 3.91258837796218 2.80353894125458 24.2005715497041 4.51596375029623e-64 1.5682790976764e-61 135.454425912449 "ENSG00000066279.18" "ASPM"
